"date","num_casos","Population2020","daily_cases_per100k","daily_cases_per100k_mavg","location_google","provincia_iso"
2020-03-11,4660,47450795,9.82069952674133,5.8523782372877,"Spain total","ES"
2020-03-12,5847,47450795,12.3222382259349,7.23094914878214,"Spain total","ES"
2020-03-13,7644,47450795,16.1093191378564,9.04726675285419,"Spain total","ES"
2020-03-14,7298,47450795,15.3801427352271,10.6937844018961,"Spain total","ES"
2020-03-15,7793,47450795,16.4233286291621,12.3899775696969,"Spain total","ES"
2020-03-16,9297,47450795,19.5929277897241,14.1843175200151,"Spain total","ES"
2020-03-17,8702,47450795,18.3389972707517,15.4268076164854,"Spain total","ES"
2020-03-18,8790,47450795,18.5244525407846,16.6702009042058,"Spain total","ES"
2020-03-19,8536,47450795,17.9891611931897,17.4797613280994,"Spain total","ES"
2020-03-20,10467,47450795,22.0586399026613,18.3296642945001,"Spain total","ES"
2020-03-21,7292,47450795,15.3674980577248,18.3278579119998,"Spain total","ES"
2020-03-22,6626,47450795,13.963938854976,17.9765165156875,"Spain total","ES"
2020-03-23,8091,47450795,17.0513476117734,17.6134336331231,"Spain total","ES"
2020-03-24,6998,47450795,14.747908860115,17.1004210030321,"Spain total","ES"
2020-03-25,6833,47450795,14.4001802288033,16.5112392441776,"Spain total","ES"
2020-03-26,6211,47450795,13.0893486610709,15.8112660253035,"Spain total","ES"
2020-03-27,5947,47450795,12.5329828509723,14.4504578750622,"Spain total","ES"
2020-03-28,5245,47450795,11.0535555832099,13.834180378703,"Spain total","ES"
2020-03-29,4169,47450795,8.78594341780786,13.0944667448218,"Spain total","ES"
2020-03-30,5070,47450795,10.6847524893945,12.1849531559105,"Spain total","ES"
2020-03-31,4314,47450795,9.09152312411204,11.3768980507673,"Spain total","ES"
2020-04-01,5390,47450795,11.3591352895141,10.9424630594402,"Spain total","ES"
2020-04-02,4341,47450795,9.14842417287213,10.3794738468404,"Spain total","ES"
2020-04-03,4372,47450795,9.21375500663371,9.90529844050633,"Spain total","ES"
2020-04-04,3597,47450795,7.58048416259411,9.40914538041836,"Spain total","ES"
2020-04-05,3148,47450795,6.63424079617633,9.10175929161386,"Spain total","ES"
2020-04-06,3481,47450795,7.33602039755077,8.62336899277903,"Spain total","ES"
2020-04-07,3136,47450795,6.60895144117185,8.26871589521615,"Spain total","ES"
2020-04-08,3356,47450795,7.07258961625406,7.65635222760757,"Spain total","ES"
2020-04-09,3191,47450795,6.7248609849424,7.31012891504618,"Spain total","ES"
2020-04-10,3076,47450795,6.48250466614943,6.91995029497699,"Spain total","ES"
2020-04-11,2770,47450795,5.83762611353508,6.67097057368285,"Spain total","ES"
2020-04-12,2155,47450795,4.54154666955527,6.37201426987984,"Spain total","ES"
2020-04-13,2099,47450795,4.42352967953435,5.95594416730606,"Spain total","ES"
2020-04-14,2152,47450795,4.53522433080415,5.65969743725354,"Spain total","ES"
2020-04-15,2215,47450795,4.66799344457769,5.31618369844263,"Spain total","ES"
2020-04-16,2066,47450795,4.35398395327202,4.97748697963257,"Spain total","ES"
2020-04-17,1819,47450795,3.83344472942972,4.59904984581547,"Spain total","ES"
2020-04-18,1539,47450795,3.24335977932509,4.22844036949976,"Spain total","ES"
2020-04-19,1089,47450795,2.29500896665693,3.90750641194285,"Spain total","ES"
2020-04-20,1413,47450795,2.97782155177801,3.70097667940623,"Spain total","ES"
2020-04-21,1277,47450795,2.69120886172718,3.43754589810952,"Spain total","ES"
2020-04-22,1422,47450795,2.99678856803137,3.19880234431719,"Spain total","ES"
2020-04-23,1149,47450795,2.42145574167935,2.92272688551824,"Spain total","ES"
2020-04-24,1083,47450795,2.28236428915469,2.70114396547895,"Spain total","ES"
2020-04-25,733,47450795,1.5447581015239,2.45848658293592,"Spain total","ES"
2020-04-26,541,47450795,1.14012842145216,2.29350364790667,"Spain total","ES"
2020-04-27,691,47450795,1.45624535900821,2.07613562036812,"Spain total","ES"
2020-04-28,831,47450795,1.75128783406053,1.94186118784432,"Spain total","ES"
2020-04-29,729,47450795,1.53632831652241,1.73322400905732,"Spain total","ES"
2020-04-30,730,47450795,1.53843576277278,1.60707829778496,"Spain total","ES"
2020-05-01,717,47450795,1.51103896151793,1.49688896526542,"Spain total","ES"
2020-05-02,642,47450795,1.3529804927399,1.46949216401056,"Spain total","ES"
2020-05-03,445,47450795,0.937813581416286,1.44059004400543,"Spain total","ES"
2020-05-04,511,47450795,1.07690503394095,1.38639856899583,"Spain total","ES"
2020-05-05,318,47450795,0.670167907618829,1.23195286521844,"Spain total","ES"
2020-05-06,308,47450795,0.649093445115092,1.10520502644597,"Spain total","ES"
2020-05-07,311,47450795,0.655415783866213,0.9790593151736,"Spain total","ES"
2020-05-08,324,47450795,0.682812585121071,0.86074126140262,"Spain total","ES"
2020-05-09,270,47450795,0.569010487600893,0.748745546382762,"Spain total","ES"
2020-05-10,292,47450795,0.615374305109114,0.702682792624595,"Spain total","ES"
2020-05-11,647,47450795,1.36351772399177,0.743627462631855,"Spain total","ES"
2020-05-12,528,47450795,1.1127316201973,0.806850850143065,"Spain total","ES"
2020-05-13,590,47450795,1.24339328772047,0.891750827658119,"Spain total","ES"
2020-05-14,542,47450795,1.14223586770253,0.96129655392045,"Spain total","ES"
2020-05-15,586,47450795,1.23496350271897,1.04017525643444,"Spain total","ES"
2020-05-16,337,47450795,0.710209386375929,1.06034652768801,"Spain total","ES"
2020-05-17,308,47450795,0.649093445115092,1.06516354768887,"Spain total","ES"
2020-05-18,558,47450795,1.17595500770851,1.03836887393412,"Spain total","ES"
2020-05-19,591,47450795,1.24550073397084,1.05733589018748,"Spain total","ES"
2020-05-20,486,47450795,1.02421887768161,1.02602526018193,"Spain total","ES"
2020-05-21,511,47450795,1.07690503394095,1.01669228393027,"Spain total","ES"
2020-05-22,579,47450795,1.22021137896636,1.0145848376799,"Spain total","ES"
2020-05-23,329,47450795,0.69334981637294,1.01217632767947,"Spain total","ES"
