region	lon	lat
Andalusia	-4.5000000	37.60
Aragon	-1.00	41.00
Asturias	-6.00	43.33
Balearic Islands	2.43	39.22
Basque Country	-2.75	43.00
Canary Islands	-15.50	28.00
Cantabria	-4.00	43.33
Castile and Leon	-4.25	41.67
Castile-La Mancha	-3.00	39.50
Catalonia	1.87	41.82
Ceuta		
Community of Madrid	-3.69	40.43
Extremadura	-6.00	39.00
Galicia	-7.87	42.7550796
La Rioja	-2.50	42.25
Melilla		
Navarre	-1.67	42.75
Region of Murcia	-1.50	38.00
Valencian Community	-0.75	39.50
