"ORIGEN","DESTINO","O_D","Nombre_Zona_origin","NUTS_CNTR_CODE_origin","NUTS_ID_origin","Nombre_Zona_destination","NUTS_CNTR_CODE_destination","NUTS_ID_destination","xcoord_origin","ycoord_origin","xcoord_destination","ycoord_destination","mode","counts"
"ES01","ES08","ES01_ES08","Araba/Alava","ES","ES211","Barcelona","ES","ES511",-2.68598435098573,42.8695986935993,1.98130118419119,41.7113604068706,"bus",6438
"ES01","ES08","ES01_ES08","Araba/Alava","ES","ES211","Barcelona","ES","ES511",-2.68598435098573,42.8695986935993,1.98130118419119,41.7113604068706,"train",14624
"ES01","ES08","ES01_ES08","Araba/Alava","ES","ES211","Barcelona","ES","ES511",-2.68598435098573,42.8695986935993,1.98130118419119,41.7113604068706,"plane",0
"ES01","ES08","ES01_ES08","Araba/Alava","ES","ES211","Barcelona","ES","ES511",-2.68598435098573,42.8695986935993,1.98130118419119,41.7113604068706,"ferry",0
"ES01","ES08","ES01_ES08","Araba/Alava","ES","ES211","Barcelona","ES","ES511",-2.68598435098573,42.8695986935993,1.98130118419119,41.7113604068706,"all trips",236283
"ES01","ES09","ES01_ES09","Araba/Alava","ES","ES211","Burgos","ES","ES412",-2.68598435098573,42.8695986935993,-3.53542994074566,42.36114650445,"car",877376
"ES01","ES09","ES01_ES09","Araba/Alava","ES","ES211","Burgos","ES","ES412",-2.68598435098573,42.8695986935993,-3.53542994074566,42.36114650445,"bus",43861
"ES01","ES09","ES01_ES09","Araba/Alava","ES","ES211","Burgos","ES","ES412",-2.68598435098573,42.8695986935993,-3.53542994074566,42.36114650445,"train",101820
"ES01","ES09","ES01_ES09","Araba/Alava","ES","ES211","Burgos","ES","ES412",-2.68598435098573,42.8695986935993,-3.53542994074566,42.36114650445,"plane",0
"ES01","ES09","ES01_ES09","Araba/Alava","ES","ES211","Burgos","ES","ES412",-2.68598435098573,42.8695986935993,-3.53542994074566,42.36114650445,"ferry",0
"ES01","ES09","ES01_ES09","Araba/Alava","ES","ES211","Burgos","ES","ES412",-2.68598435098573,42.8695986935993,-3.53542994074566,42.36114650445,"all trips",1023057
"ES01","ES10","ES01_ES10","Araba/Alava","ES","ES211","Caceres","ES","ES432",-2.68598435098573,42.8695986935993,-6.18687671882635,39.7307063798545,"car",24441
"ES01","ES10","ES01_ES10","Araba/Alava","ES","ES211","Caceres","ES","ES432",-2.68598435098573,42.8695986935993,-6.18687671882635,39.7307063798545,"bus",71
"ES01","ES10","ES01_ES10","Araba/Alava","ES","ES211","Caceres","ES","ES432",-2.68598435098573,42.8695986935993,-6.18687671882635,39.7307063798545,"train",0
"ES01","ES10","ES01_ES10","Araba/Alava","ES","ES211","Caceres","ES","ES432",-2.68598435098573,42.8695986935993,-6.18687671882635,39.7307063798545,"plane",0
"ES01","ES10","ES01_ES10","Araba/Alava","ES","ES211","Caceres","ES","ES432",-2.68598435098573,42.8695986935993,-6.18687671882635,39.7307063798545,"ferry",0
"ES01","ES10","ES01_ES10","Araba/Alava","ES","ES211","Caceres","ES","ES432",-2.68598435098573,42.8695986935993,-6.18687671882635,39.7307063798545,"all trips",24512
"ES01","ES11","ES01_ES11","Araba/Alava","ES","ES211","Cadiz","ES","ES612",-2.68598435098573,42.8695986935993,-5.76446774003969,36.5603616791138,"car",12970
"ES01","ES11","ES01_ES11","Araba/Alava","ES","ES211","Cadiz","ES","ES612",-2.68598435098573,42.8695986935993,-5.76446774003969,36.5603616791138,"bus",148
"ES01","ES11","ES01_ES11","Araba/Alava","ES","ES211","Cadiz","ES","ES612",-2.68598435098573,42.8695986935993,-5.76446774003969,36.5603616791138,"train",0
